href,Time,Type,Map,Score,Rated
/game/8513210,2023-01-21 22:41:29,ca,okremix,1:10,A
/game/8513191,2023-01-21 22:29:32,ca,trinity,10:3,A
/game/8513170,2023-01-21 22:15:43,ca,quarantine,10:9,A
/game/8513138,2023-01-21 21:56:27,ca,campgrounds,10:9,A
/game/8513105,2023-01-21 21:36:32,ca,overek,10:7,A
/game/8513081,2023-01-21 21:21:07,ca,servitude,10:8,A
/game/8513052,2023-01-21 21:00:25,ca,campgrounds,10:4,A
/game/8513032,2023-01-21 20:46:57,ca,asylum,10:5,A
/game/8513014,2023-01-21 20:32:35,ca,hearth,10:6,A
/game/8512996,2023-01-21 20:22:04,ca,drunkenmummy,10:9,A
/game/8512980,2023-01-21 20:11:07,ca,ra3map19a,8:10,
/game/8512964,2023-01-21 20:00:34,ca,thunderstruck,7:10,
/game/8511736,2023-01-21 03:31:26,duel,aerowalk,11:0,A
/game/8511706,2023-01-21 03:17:20,duel,furiousheights,8:4,A
/game/8511678,2023-01-21 03:05:56,duel,verticalvengeance,8:5,A
/game/8511633,2023-01-21 02:45:21,duel,verticalvengeance,12:-1,A
/game/8511603,2023-01-21 02:31:39,duel,sinister,8:-999,A
/game/8511555,2023-01-21 02:11:25,duel,bloodrun,9:-999,A
/game/8511525,2023-01-21 01:59:25,duel,bloodrun,5:-999,A
/game/8511491,2023-01-21 01:47:05,duel,bloodrun,2:0,A
/game/8511460,2023-01-21 01:31:27,ca,deadandgone,7:10,A
/game/8511420,2023-01-21 01:14:05,ca,asylum,8:10,B
/game/8511364,2023-01-21 00:54:23,ca,drunkenmummy,10:3,A
/game/8511334,2023-01-21 00:44:05,ca,campgrounds,6:10,A
/game/8511300,2023-01-21 00:28:54,ca,quarantine,10:9,A
/game/8511257,2023-01-21 00:07:34,ca,overek,6:10,A
/game/8511223,2023-01-20 23:51:28,ca,campgrounds,10:7,A
/game/8511195,2023-01-20 23:32:54,duel,bloodrun,5:-999,A
/game/8511171,2023-01-20 23:22:11,duel,bloodrun,4:2,A
/game/8511149,2023-01-20 23:11:21,duel,bloodrun,7:-999,A
/game/8511136,2023-01-20 23:02:20,duel,bloodrun,18:8,A
/game/8511108,2023-01-20 22:46:42,duel,bloodrun,13:2,A
/game/8511091,2023-01-20 22:33:39,duel,bloodrun,6:-999,A
/game/8511073,2023-01-20 22:22:41,duel,bloodrun,5:-999,A
/game/8511046,2023-01-20 22:07:27,ca,campgrounds,10:1,A
/game/8511033,2023-01-20 21:57:21,ca,overek,10:7,A
/game/8511007,2023-01-20 21:40:00,ca,eviscerated,10:8,A
/game/8510984,2023-01-20 21:20:59,ca,drunkenmummy,8:10,A
/game/8510966,2023-01-20 21:05:27,ca,hearth,10:7,A
/game/8510945,2023-01-20 20:51:35,ca,hiddenfortress,8:10,A
/game/8510918,2023-01-20 20:32:06,ca,deadandgone,7:10,A
/game/8510899,2023-01-20 20:17:40,ca,hearth,10:9,A
/game/8510876,2023-01-20 20:01:43,ca,almostlost,10:3,A
/game/8510866,2023-01-20 19:51:54,ca,asylum,10:6,A
/game/8509536,2023-01-20 01:21:07,ca,ra3map17c,10:5,B
/game/8509501,2023-01-20 01:08:27,ca,asylum,6:10,B
/game/8509463,2023-01-20 00:53:23,ca,deadandgone,1:10,B
/game/8509447,2023-01-20 00:46:54,ca,deadandgone,10:7,B
/game/8509416,2023-01-20 00:35:05,ca,ra3map17c,10:5,A
/game/8509394,2023-01-20 00:26:37,ca,drunkenmummy,10:7,A
/game/8509372,2023-01-20 00:16:37,ca,hearth,10:2,A
/game/8509353,2023-01-20 00:09:29,ca,deadandgone,10:8,A
/game/8509319,2023-01-19 23:56:35,ca,overek,7:10,A
/game/8509281,2023-01-19 23:40:27,ca,trinity,7:10,A
/game/8509239,2023-01-19 23:22:29,ca,quarantine,10:8,A
/game/8509201,2023-01-19 23:02:00,ca,campgrounds,10:8,A
/game/8509173,2023-01-19 22:44:51,ca,almostlost,4:10,A
/game/8509155,2023-01-19 22:31:54,ca,asylum,7:10,A
/game/8509137,2023-01-19 22:17:55,ca,hearth,10:9,A
/game/8508858,2023-01-19 16:59:00,duel,aerowalk,16:14,A
/game/8508849,2023-01-19 16:47:42,duel,aerowalk,18:17,A
/game/8508840,2023-01-19 16:35:27,duel,aerowalk,15:6,A
/game/8508828,2023-01-19 16:22:39,duel,bloodrun,11:-999,A
/game/8508818,2023-01-19 16:10:57,duel,bloodrun,5:1,A
/game/8508806,2023-01-19 15:54:13,duel,bloodrun,0:-999,A
/game/8508800,2023-01-19 15:48:47,duel,bloodrun,2:1,A
/game/8508783,2023-01-19 15:24:34,duel,bloodrun,7:-999,A
/game/8508775,2023-01-19 15:11:59,duel,bloodrun,8:-999,A
/game/8508770,2023-01-19 14:59:15,duel,bloodrun,18:-999,A
/game/8507576,2023-01-19 00:04:13,ca,campgrounds,10:6,A
/game/8507539,2023-01-18 23:47:21,ca,almostlost,10:6,A
/game/8507512,2023-01-18 23:31:57,ca,servitude,6:10,A
/game/8507485,2023-01-18 23:14:30,ca,trinity,10:0,A
/game/8507470,2023-01-18 23:03:16,ca,quarantine,8:10,A
/game/8507445,2023-01-18 22:45:28,ca,campgrounds,10:9,A
/game/8507423,2023-01-18 22:25:32,ca,hearth,7:10,A
/game/8507403,2023-01-18 22:11:55,ca,asylum,10:4,B
/game/8507308,2023-01-18 20:59:51,ca,drunkenmummy,10:7,A
/game/8507290,2023-01-18 20:49:05,ca,ra3map17c,10:6,A
/game/8507269,2023-01-18 20:33:51,ca,deadandgone,10:6,B
/game/8507254,2023-01-18 20:20:55,ca,asylum,4:10,A
/game/8507239,2023-01-18 20:07:41,ca,thunderstruck,10:7,A
/game/8507087,2023-01-18 16:56:28,duel,bloodrun,14:1,A
/game/8507078,2023-01-18 16:42:51,duel,bloodrun,12:1,A
/game/8507036,2023-01-18 15:36:26,duel,bloodrun,8:-999,A
/game/8506983,2023-01-18 14:10:17,duel,bloodrun,23:-1,A
/game/8506978,2023-01-18 13:59:23,duel,bloodrun,24:-1,A
/game/8506975,2023-01-18 13:48:56,duel,bloodrun,10:5,A
/game/8506251,2023-01-18 03:09:10,duel,bloodrun,8:4,A
/game/8506204,2023-01-18 02:44:09,duel,bloodrun,3:1,A
/game/8506136,2023-01-18 02:18:45,duel,bloodrun,5:4,A
/game/8506110,2023-01-18 02:07:36,duel,bloodrun,10:1,A
/game/8506081,2023-01-18 01:56:34,duel,bloodrun,3:2,A
/game/8506045,2023-01-18 01:41:44,duel,bloodrun,14:1,A
/game/8506015,2023-01-18 01:29:14,duel,bloodrun,12:0,A
/game/8505982,2023-01-18 01:17:10,duel,bloodrun,5:4,A
/game/8505951,2023-01-18 01:05:41,duel,bloodrun,7:5,A
/game/8505872,2023-01-18 00:30:25,ca,drunkenmummy,0:10,A
/game/8505846,2023-01-18 00:20:25,ca,hearth,4:10,A
/game/8505824,2023-01-18 00:08:13,ca,asylum,10:1,A
/game/8505807,2023-01-17 23:58:50,ca,hearth,10:3,B
/game/8505791,2023-01-17 23:48:46,ca,deadandgone,10:5,B
/game/8505766,2023-01-17 23:35:51,ca,servitude,10:5,A
/game/8505736,2023-01-17 23:18:59,ca,deepinside,9:10,A
/game/8505695,2023-01-17 22:50:59,ca,trinity,10:5,A
/game/8505673,2023-01-17 22:34:29,ca,campgrounds,10:8,A
/game/8505653,2023-01-17 22:16:09,ca,quarantine,10:8,A
/game/8505630,2023-01-17 22:00:16,ca,overek,6:10,A
/game/8505615,2023-01-17 21:47:03,ca,asylum,10:9,B
/game/8505599,2023-01-17 21:30:03,ffa,railyard,50:48,
/game/8505573,2023-01-17 21:09:10,ca,campgrounds,6:10,A
/game/8505550,2023-01-17 20:48:19,ca,trinity,10:8,A
/game/8505530,2023-01-17 20:27:29,ca,overek,8:10,A
/game/8505515,2023-01-17 20:10:22,ca,deadandgone,10:7,A
/game/8505506,2023-01-17 19:55:03,ca,campgrounds,10:6,A
/game/8504486,2023-01-17 03:01:05,duel,verticalvengeance,12:5,A
/game/8504456,2023-01-17 02:49:30,duel,furiousheights,11:4,A
/game/8504431,2023-01-17 02:38:30,duel,furiousheights,15:-999,A
/game/8504403,2023-01-17 02:26:50,duel,bloodrun,13:8,A
/game/8504376,2023-01-17 02:16:25,duel,bloodrun,9:5,A
/game/8504344,2023-01-17 02:05:06,duel,sinister,4:3,A
/game/8504306,2023-01-17 01:53:20,duel,furiousheights,4:2,A
/game/8504267,2023-01-17 01:39:35,duel,verticalvengeance,7:4,A
/game/8504227,2023-01-17 01:26:16,duel,bloodrun,4:-999,A
/game/8504080,2023-01-17 00:38:43,ca,trinity,10:5,A
/game/8504046,2023-01-17 00:23:28,ca,overek,10:1,A
/game/8504017,2023-01-17 00:12:48,ca,campgrounds,8:10,A
/game/8503975,2023-01-16 23:54:32,ca,asylum,9:10,A
/game/8503946,2023-01-16 23:39:46,ca,hiddenfortress,4:10,A
/game/8503914,2023-01-16 23:22:14,ca,trinity,8:10,A
/game/8503872,2023-01-16 23:04:00,ca,almostlost,10:8,A
/game/8503839,2023-01-16 22:51:18,ca,quarantine,6:10,A
/game/8503815,2023-01-16 22:36:39,ca,overek,10:6,A
/game/8503793,2023-01-16 22:23:44,ca,campgrounds,10:6,A
/game/8503768,2023-01-16 22:08:56,ca,asylum,10:8,A
/game/8503744,2023-01-16 21:54:21,ca,drunkenmummy,9:10,A
/game/8503728,2023-01-16 21:43:45,ca,thunderstruck,5:10,
/game/8503688,2023-01-16 21:07:42,ca,threestory,5:10,A
/game/8503676,2023-01-16 20:53:13,ca,overek,6:10,A
/game/8503660,2023-01-16 20:40:32,ca,hearth,7:10,A
/game/8503642,2023-01-16 20:27:03,ca,asylum,10:4,A
/game/8503623,2023-01-16 20:12:01,ca,overek,7:10,A
/game/8503606,2023-01-16 19:56:12,ca,campgrounds,9:10,A
/game/8503583,2023-01-16 19:38:08,ca,deadandgone,6:10,A
/game/8503570,2023-01-16 19:27:37,duel,bloodrun,8:3,A
/game/8503559,2023-01-16 19:16:38,duel,bloodrun,9:6,A
/game/8503546,2023-01-16 19:05:21,duel,bloodrun,9:-999,A
/game/8503531,2023-01-16 18:54:45,duel,bloodrun,10:-999,A
/game/8503524,2023-01-16 18:46:23,duel,bloodrun,5:4,A
/game/8503510,2023-01-16 18:33:30,duel,bloodrun,3:1,A
/game/8503496,2023-01-16 18:19:55,duel,bloodrun,5:3,A
/game/8503483,2023-01-16 18:06:46,duel,bloodrun,5:-999,A
/game/8502006,2023-01-15 23:58:13,ca,trinity,4:10,A
/game/8501982,2023-01-15 23:44:52,ca,midlifecrisis,7:10,A
